Credit,Jours,Type
873108.2004,74,Commerce
361023.6186,157,Production
243505.1124,312,Production
679072.9848,0,Commerce
1504075.877,8,Commerce
888543.406,9,Consommation
436933.4917,23,Commerce
696244.4086,41,Production
247566.7334,70,Consommation
20160.85358,161,Commerce
518832.0888,318,Consommation
114150.57,0,Consommation
1069756.456,4,Consommation
1909053.207,7,Commerce
794261.7211,24,Commerce
23113.63412,36,Commerce
180658.3519,81,Commerce
1055869.388,163,Commerce
543091.2563,308,Commerce
1022678.916,0,Consommation
84455.27457,3,Commerce
1351001.491,9,Consommation
1562313.281,19,Production
508188.3442,30,Commerce
525093.2559,78,Consommation
1357753.049,169,Commerce
1244164.805,317,Commerce
337278.7129,0,Commerce
627636.3466,4,Commerce
1187827.508,14,Consommation
1779944.998,30,Commerce
1758178.701,32,Consommation
84135.13008,71,Commerce
1624398.367,151,Production
556589.351,294,Commerce
619458.6679,0,Commerce
356179.0368,4,Commerce
50563.15753,13,Consommation
274301.5814,17,Commerce
163313.4228,41,Commerce
154794.92,83,Commerce
268990.6773,151,Commerce
405132.3484,329,Consommation
711569.9025,0,Production
149708.8115,7,Consommation
1167064.079,12,Commerce
133404.9836,21,Commerce
964804.207,35,Consommation
735019.2775,75,Commerce
1425495.83,157,Consommation
384427.777,329,Consommation
380187.5554,0,Commerce
51968.12886,4,Consommation
1015032.958,16,Commerce
1662059.19,15,Commerce
1395087.296,49,Consommation
259313.7638,90,Production
216851.4357,163,Consommation
554277.1025,327,Commerce
1176623.068,0,Commerce
1177393.185,6,Commerce
1764645.265,10,Commerce
977966.8327,12,Commerce
160411.6164,53,Commerce
267735.6127,76,Consommation
3023003.623,151,Consommation
960056.2897,297,Commerce
250257.8889,0,Commerce
109647.6945,5,Consommation
700276.7626,8,Commerce
140877.1618,20,Commerce
134428.3636,39,Commerce
544198.9293,75,Consommation
1542039.811,138,Commerce
38684.27724,306,Production
910654.0066,0,Commerce
1393151.086,7,Commerce
930630.6629,5,Commerce
321780.591,28,Commerce
728457.6188,44,Commerce
98398.09273,70,Commerce
1484202.836,157,Commerce
714524.0716,343,Commerce
1200705.239,0,Commerce
234646.0195,4,Commerce
592781.0445,12,Commerce
19770.50822,15,Commerce
1430092.792,49,Commerce
